,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Company,Company,Company,Company,Company,Company,Company,Company,Company,Company,Company,Company,Country,Country,Country,Spoken_lang,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Descriptive,Numerical,Numerical,Numerical,Numerical,Numerical,Release_year,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Release_month,Numerical,Numerical,Company,Company,Company,Company,Release_year,Release_year,Release_year,Release_year,Release_year,Numerical,Country,Country,Country,Country,Country,Country,Country
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35000000.0,111.0,3982449.0,268.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32000000.0,87.0,88978202.0,328.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000.0,130.0,136159423.0,291.0,22.0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45000000.0,89.0,94935764.0,489.0,81.0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90000000.0,106.0,146936910.0,741.0,13.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
16,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140000000.0,91.0,258022233.0,389.0,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000.0,94.0,41564670.0,226.0,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000.0,127.0,189859560.0,251.0,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.0,126.0,16217773.0,443.0,46.0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000.0,108.0,24362772.0,285.0,35.0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15000000.0,88.0,47175038.0,427.0,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44000000.0,167.0,155760117.0,105.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38000000.0,118.0,120000000.0,248.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125000000.0,125.0,238207122.0,264.0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000.0,115.0,24773560.0,167.0,76.0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
27,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000.0,109.0,152022101.0,249.0,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000.0,105.0,14658467.0,242.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7500000.0,91.0,39748899.0,397.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20000000.0,126.0,8544827.0,141.0,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35000000.0,109.0,140100000.0,510.0,88.0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,3,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0
32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000.0,147.0,20112339.0,205.0,112.0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,5,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0
33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000.0,98.0,624913.0,329.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,135.0,313542341.0,703.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10900000.0,105.0,16538759.0,547.0,33.0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000.0,123.0,67631903.0,62.0,31.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
37,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000.0,122.0,93920758.0,743.0,58.0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,8,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.0,106.0,51684798.0,260.0,62.0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
39,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,100.0,253625427.0,241.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000.0,115.0,91036760.0,241.0,99.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
43,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.0,111.0,44567606.0,295.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
45,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14320000.0,176.0,21800000.0,66.0,33.0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
46,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35000000.0,87.0,147214049.0,392.0,48.0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
47,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000000.0,72.0,109862682.0,203.0,21.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,1,0,3,0,1,0,0,0,1,0
48,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000.0,122.0,144216468.0,374.0,23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
49,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35000000.0,87.0,40766497.0,310.0,85.0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000000.0,93.0,125212904.0,312.0,37.0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32000000.0,133.0,156200000.0,185.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,104.0,25092802.0,306.0,31.0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82500000.0,107.0,237681299.0,190.0,58.0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,4,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40000000.0,110.0,84384002.0,449.0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,108.0,78084827.0,198.0,79.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
56,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85000000.0,97.0,144877632.0,229.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0
57,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,55000000.0,91.0,110387072.0,325.0,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
59,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000000.0,92.0,66433194.0,248.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0
60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000.0,136.0,40800000.0,219.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1
62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,111.0,173965010.0,195.0,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
63,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35000000.0,90.0,183442714.0,862.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
65,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110000000.0,120.0,48170758.0,134.0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,7,0,1,1,1,0,0,0,1,0,4,1,0,0,0,0,0,0
66,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30000000.0,140.0,17509437.0,450.0,105.0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,6,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
67,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,94.0,27297450.0,259.0,89.0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
68,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000000.0,127.0,290000000.0,391.0,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
69,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.0,118.0,57588485.0,274.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
70,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000000.0,88.0,17001027.0,384.0,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0
72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,102000000.0,99.0,147080413.0,330.0,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,0,1,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920000.0,140.0,784489.0,184.0,107.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12560000.0,105.0,39635766.0,788.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000.0,121.0,202394678.0,479.0,17.0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,6,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0
76,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,89.0,9000000.0,49.0,21.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000000.0,83.0,10000000.0,369.0,40.0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
